iter	Passed	Remaining
0	138	138169
1	139	69683
2	141	46955
3	144	35932
4	151	30113
5	153	25370
6	154	21909
7	155	19313
8	157	17291
9	158	15691
10	160	14400
11	161	13301
12	163	12380
13	164	11572
14	166	10916
15	167	10313
16	169	9779
17	172	9402
18	173	8968
19	175	8591
20	177	8260
21	179	7983
22	181	7693
23	182	7414
24	183	7155
25	184	6915
26	186	6720
27	187	6524
28	189	6337
29	190	6162
30	191	5996
31	193	5840
32	194	5704
33	195	5565
34	197	5432
35	199	5351
36	200	5231
37	202	5116
38	203	5010
39	204	4907
40	205	4814
41	207	4723
42	208	4635
43	209	4556
44	211	4479
45	214	4448
46	216	4379
47	218	4330
48	219	4268
49	221	4210
50	222	4145
51	223	4080
52	224	4016
53	225	3956
54	226	3899
55	228	3859
56	230	3810
57	232	3778
58	233	3732
59	235	3684
60	236	3637
61	237	3591
62	239	3565
63	243	3557
64	247	3556
65	251	3559
66	253	3527
67	254	3493
68	256	3457
69	260	3460
70	261	3427
71	264	3409
72	266	3381
73	267	3350
74	269	3318
75	277	3371
76	278	3338
77	279	3306
78	281	3277
79	283	3256
80	284	3227
81	285	3200
82	286	3165
83	292	3186
84	293	3163
85	295	3143
86	297	3119
87	298	3094
88	299	3070
89	301	3052
90	308	3081
91	310	3063
92	311	3041
93	313	3018
94	314	2996
95	315	2974
96	317	2952
97	321	2959
98	322	2939
99	324	2916
100	325	2894
101	326	2874
102	327	2853
103	328	2833
104	330	2814
105	331	2798
106	335	2798
107	337	2783
108	338	2767
109	339	2749
110	341	2731
111	342	2715
112	343	2697
113	344	2679
114	349	2690
115	350	2674
116	352	2659
117	353	2645
118	355	2632
119	357	2618
120	359	2609
121	360	2596
122	364	2599
123	368	2600
124	370	2591
125	372	2586
126	374	2571
127	376	2564
128	382	2584
129	385	2579
130	388	2577
131	390	2567
132	395	2580
133	397	2566
134	398	2556
135	401	2548
136	402	2536
137	404	2526
138	405	2514
139	409	2514
140	410	2501
141	411	2486
142	412	2474
143	414	2462
144	415	2450
145	416	2438
146	418	2426
147	419	2414
148	420	2403
149	423	2398
150	424	2387
151	425	2376
152	427	2364
153	428	2353
154	429	2341
155	430	2330
156	431	2318
157	432	2307
158	434	2297
159	435	2288
160	436	2277
161	438	2267
162	439	2255
163	440	2243
164	441	2232
165	442	2221
166	443	2209
167	444	2198
168	444	2187
169	445	2177
170	447	2168
171	448	2158
172	449	2148
173	451	2143
174	452	2133
175	453	2123
176	454	2113
177	455	2103
178	456	2093
179	457	2083
180	458	2074
181	459	2064
182	460	2055
183	461	2046
184	462	2037
185	463	2028
186	466	2027
187	467	2018
188	468	2009
189	469	2000
190	470	1991
191	471	1982
192	472	1973
193	472	1965
194	474	1956
195	475	1948
196	475	1940
197	476	1931
198	477	1923
199	478	1915
200	481	1912
201	482	1904
202	483	1896
203	484	1888
204	484	1880
205	485	1872
206	486	1864
207	487	1857
208	488	1850
209	489	1843
210	490	1835
211	491	1828
212	492	1821
213	494	1815
214	495	1810
215	496	1803
216	498	1797
217	499	1790
218	500	1784
219	501	1778
220	502	1771
221	503	1764
222	504	1757
223	505	1751
224	506	1744
225	507	1737
226	509	1734
227	510	1728
228	511	1722
229	512	1715
230	513	1709
231	514	1704
232	516	1698
233	517	1692
234	518	1686
235	519	1680
236	519	1673
237	520	1667
238	521	1661
239	522	1655
240	524	1652
241	525	1646
242	526	1640
243	527	1634
244	528	1630
245	529	1624
246	530	1618
247	531	1612
248	532	1606
249	533	1601
250	534	1595
251	535	1589
252	536	1583
253	537	1578
254	540	1577
255	541	1573
256	542	1568
257	543	1562
258	544	1557
259	545	1552
260	546	1546
261	547	1541
262	548	1536
263	549	1530
264	550	1525
265	551	1520
266	552	1515
267	554	1514
268	555	1509
269	556	1504
270	557	1499
271	558	1494
272	559	1489
273	560	1484
274	561	1479
275	562	1474
276	563	1469
277	564	1465
278	565	1460
279	566	1455
280	567	1450
281	569	1449
282	570	1445
283	571	1440
284	572	1435
285	573	1431
286	574	1426
287	575	1421
288	576	1417
289	576	1412
290	577	1408
291	578	1403
292	579	1399
293	580	1394
294	581	1390
295	584	1390
296	585	1386
297	586	1382
298	587	1378
299	588	1373
300	589	1369
301	590	1365
302	591	1360
303	592	1356
304	593	1352
305	594	1348
306	595	1344
307	596	1339
308	598	1338
309	599	1334
310	600	1330
311	601	1326
312	602	1323
313	604	1319
314	605	1316
315	606	1312
316	607	1308
317	608	1304
318	609	1300
319	610	1296
320	611	1292
321	613	1291
322	614	1287
323	615	1283
324	616	1279
325	617	1275
326	618	1272
327	619	1268
328	620	1264
329	620	1260
330	621	1257
331	623	1253
332	624	1249
333	625	1246
334	625	1242
335	628	1241
336	629	1237
337	630	1234
338	631	1230
339	632	1227
340	633	1223
341	634	1220
342	635	1216
343	636	1212
344	637	1209
345	637	1205
346	638	1202
347	639	1198
348	640	1195
349	643	1194
350	644	1190
351	645	1187
352	646	1184
353	647	1180
354	647	1177
355	648	1173
356	649	1170
357	650	1167
358	651	1163
359	652	1160
360	653	1157
361	654	1154
362	655	1150
363	658	1149
364	659	1146
365	660	1144
366	661	1141
367	662	1138
368	663	1135
369	664	1132
370	665	1128
371	666	1125
372	667	1122
373	668	1119
374	669	1116
375	670	1112
376	672	1111
377	673	1108
378	674	1105
379	675	1102
380	676	1099
381	677	1096
382	678	1093
383	679	1090
384	680	1087
385	681	1084
386	682	1081
387	683	1078
388	684	1075
389	685	1072
390	688	1071
391	689	1068
392	690	1066
393	691	1063
394	692	1061
395	693	1058
396	694	1055
397	695	1052
398	696	1049
399	697	1046
400	698	1043
401	699	1041
402	701	1039
403	703	1037
404	704	1034
405	706	1032
406	707	1031
407	709	1029
408	710	1026
409	711	1024
410	712	1021
411	713	1018
412	716	1018
413	718	1016
414	719	1014
415	720	1011
416	721	1009
417	723	1007
418	724	1004
419	725	1002
420	726	999
421	727	996
422	728	993
423	730	991
424	733	992
425	734	989
426	735	987
427	736	984
428	737	981
429	738	979
430	739	976
431	740	973
432	741	970
433	742	968
434	743	965
435	745	964
436	748	963
437	750	962
438	751	960
439	753	958
440	755	957
441	756	954
442	757	952
443	758	949
444	762	950
445	763	948
446	765	947
447	766	944
448	767	942
449	771	943
450	773	941
451	775	940
452	778	939
453	779	937
454	780	935
455	781	932
456	783	930
457	784	927
458	785	925
459	786	922
460	787	920
461	788	917
462	789	915
463	791	914
464	792	912
465	793	909
466	794	907
467	795	904
468	796	902
469	797	899
470	798	896
471	799	894
472	800	891
473	801	889
474	802	886
475	803	884
476	806	884
477	807	881
478	808	879
479	809	876
480	810	874
481	811	871
482	812	869
483	813	866
484	814	864
485	815	862
486	816	859
487	816	857
488	820	857
489	821	854
490	822	852
491	823	850
492	824	847
493	825	845
494	826	842
495	827	840
496	828	838
497	829	835
498	830	833
499	830	830
500	832	828
501	834	827
502	835	825
503	836	823
504	837	820
505	838	818
506	839	816
507	840	813
508	841	811
509	842	809
510	843	807
511	844	804
512	845	802
513	846	800
514	849	800
515	850	797
516	851	795
517	852	793
518	853	790
519	854	788
520	855	786
521	856	784
522	857	781
523	857	779
524	859	777
525	860	775
526	861	772
527	862	771
528	864	769
529	865	767
530	867	765
531	868	764
532	869	762
533	870	759
534	873	759
535	874	757
536	876	755
537	881	756
538	882	755
539	885	754
540	887	752
541	888	751
542	896	754
543	899	754
544	901	752
545	903	751
546	904	749
547	906	747
548	910	747
549	911	745
550	912	743
551	914	742
552	916	741
553	918	739
554	920	737
555	925	739
556	927	737
557	930	737
558	932	735
559	933	733
560	935	731
561	936	729
562	941	730
563	942	728
564	944	726
565	945	724
566	946	722
567	948	721
568	949	719
569	950	717
570	952	715
571	953	713
572	955	712
573	957	710
574	959	708
575	960	707
576	961	705
577	962	703
578	964	701
579	966	700
580	968	698
581	969	696
582	971	694
583	973	693
584	974	691
585	975	689
586	978	688
587	980	686
588	983	686
589	984	684
590	986	682
591	987	680
592	989	678
593	990	677
594	991	675
595	993	673
596	997	673
597	999	671
598	1000	669
599	1000	667
600	1002	665
601	1003	663
602	1004	661
603	1005	658
604	1005	656
605	1006	654
606	1007	652
607	1009	650
608	1011	649
609	1012	647
610	1013	645
611	1014	642
612	1015	640
613	1016	638
614	1017	636
615	1018	634
616	1019	632
617	1020	630
618	1021	628
619	1022	626
620	1023	624
621	1025	623
622	1026	621
623	1027	619
624	1028	617
625	1029	615
626	1030	613
627	1031	611
628	1032	609
629	1033	607
630	1034	605
631	1035	603
632	1036	601
633	1037	599
634	1040	598
635	1041	596
636	1042	594
637	1043	592
638	1044	590
639	1045	588
640	1046	586
641	1047	584
642	1048	582
643	1049	580
644	1050	578
645	1051	576
646	1052	574
647	1054	572
648	1055	570
649	1056	568
650	1058	567
651	1059	565
652	1060	563
653	1061	561
654	1062	559
655	1064	558
656	1065	556
657	1066	554
658	1067	552
659	1069	551
660	1071	549
661	1072	547
662	1073	545
663	1075	544
664	1077	542
665	1078	540
666	1079	538
667	1080	536
668	1081	534
669	1082	532
670	1085	532
671	1086	530
672	1087	528
673	1088	526
674	1089	524
675	1090	522
676	1091	520
677	1092	518
678	1093	516
679	1094	514
680	1094	512
681	1095	510
682	1097	509
683	1098	507
684	1099	505
685	1100	503
686	1101	501
687	1102	500
688	1103	498
689	1104	496
690	1105	494
691	1106	492
692	1107	490
693	1108	488
694	1109	486
695	1110	484
696	1112	483
697	1113	481
698	1114	480
699	1115	478
700	1116	476
701	1117	474
702	1118	472
703	1119	470
704	1120	468
705	1121	467
706	1122	465
707	1123	463
708	1124	461
709	1125	459
710	1128	458
711	1129	456
712	1130	454
713	1131	453
714	1132	451
715	1133	449
716	1134	447
717	1135	445
718	1136	444
719	1137	442
720	1138	440
721	1139	438
722	1140	436
723	1142	435
724	1143	433
725	1144	432
726	1145	430
727	1146	428
728	1147	426
729	1148	424
730	1149	423
731	1150	421
732	1151	419
733	1152	417
734	1153	415
735	1154	414
736	1156	412
737	1159	411
738	1160	409
739	1162	408
740	1163	406
741	1164	405
742	1166	403
743	1167	401
744	1168	399
745	1169	398
746	1170	396
747	1172	395
748	1173	393
749	1175	391
750	1176	389
751	1177	388
752	1178	386
753	1179	384
754	1180	383
755	1181	381
756	1182	379
757	1183	377
758	1186	376
759	1188	375
760	1189	373
761	1190	371
762	1191	370
763	1192	368
764	1193	366
765	1194	364
766	1195	363
767	1196	361
768	1197	359
769	1198	358
770	1201	356
771	1203	355
772	1204	353
773	1205	351
774	1206	350
775	1207	348
776	1208	346
777	1209	345
778	1210	343
779	1211	341
780	1212	339
781	1213	338
782	1216	337
783	1217	335
784	1219	333
785	1220	332
786	1221	330
787	1222	328
788	1223	327
789	1224	325
790	1225	323
791	1226	322
792	1227	320
793	1228	318
794	1231	317
795	1232	315
796	1233	314
797	1235	312
798	1236	311
799	1237	309
800	1238	307
801	1239	306
802	1240	304
803	1241	302
804	1242	300
805	1244	299
806	1245	297
807	1247	296
808	1248	294
809	1249	293
810	1250	291
811	1251	289
812	1252	288
813	1253	286
814	1254	284
815	1255	283
816	1256	281
817	1259	280
818	1260	278
819	1262	277
820	1263	275
821	1264	273
822	1265	272
823	1266	270
824	1267	268
825	1268	267
826	1269	265
827	1270	263
828	1271	262
829	1274	261
830	1276	259
831	1277	257
832	1278	256
833	1279	254
834	1280	253
835	1281	251
836	1282	249
837	1283	248
838	1284	246
839	1285	244
840	1286	243
841	1289	241
842	1290	240
843	1291	238
844	1292	237
845	1294	235
846	1295	233
847	1296	232
848	1297	230
849	1298	229
850	1299	227
851	1300	225
852	1303	224
853	1305	223
854	1307	221
855	1310	220
856	1312	218
857	1313	217
858	1314	215
859	1316	214
860	1319	212
861	1320	211
862	1321	209
863	1322	208
864	1323	206
865	1324	205
866	1325	203
867	1326	201
868	1327	200
869	1328	198
870	1329	196
871	1330	195
872	1333	193
873	1334	192
874	1335	190
875	1336	189
876	1338	187
877	1339	186
878	1340	184
879	1341	182
880	1342	181
881	1343	179
882	1344	178
883	1345	176
884	1347	175
885	1348	173
886	1349	171
887	1350	170
888	1352	168
889	1353	167
890	1354	165
891	1355	164
892	1356	162
893	1357	160
894	1358	159
895	1359	157
896	1362	156
897	1363	154
898	1364	153
899	1365	151
900	1367	150
901	1368	148
902	1368	147
903	1369	145
904	1370	143
905	1371	142
906	1372	140
907	1373	139
908	1376	137
909	1377	136
910	1379	134
911	1380	133
912	1381	131
913	1382	130
914	1383	128
915	1384	126
916	1385	125
917	1386	123
918	1387	122
919	1388	120
920	1391	119
921	1392	117
922	1393	116
923	1394	114
924	1396	113
925	1397	111
926	1398	110
927	1399	108
928	1400	107
929	1401	105
930	1402	103
931	1403	102
932	1406	101
933	1408	99
934	1409	97
935	1410	96
936	1411	94
